_id,x,y,fid,perimeter,dams_id,dam_no,dam_name,stream,permittee,zone,northing,easting,north,east,quad_name,type,purpose,dam_height,crest,class,drain_area,storage_no,storage_to,surface_no,surface_to
3014,-80.1131184499999,40.602297725,11,0,80,02-098,SECHLERS LAKE,RIPPLING RUN,JOSEPH E. FARINA,17,4494760,575020,18.5,1.6,EMSWORTH,EARTH,RECREATION,17,0,C-2,0.44999999,10,0,2.2,0
3015,-80.090061791,40.5997979310001,12,0,55,02-065,NORTHMONT FARMS BASIN #1,FISH RUN CREEK,BOROUGH OF FRANKLIN PARK,17,4494520,576980,18.1,4.9000001,EMSWORTH,EARTH,STORMWATER DETENTION,24,205,C-2,262,0,42,0,3
3016,-80.087841892,40.599243813,13,0,56,02-066,NORTHMONT BASIN DAM #2,FISH RUN CREEK,BOROUGH OF FRANKLIN PARK,17,4494460,577160,17.9,5.1500001,EMSWORTH,EARTH,STORMWATER DETENTION,21,180,C-2,339,0,42,0,2
3017,-79.998118357,40.5984053130001,14,0,35,02-026,PINE CREEK,PINE CREEK,COUNTY OF ALLEGHENY,17,4494440,584750,17.700001,0.5,GLENSHAW,EARTH,RECREATION,33,1130,B-1,25,570,1950,75,190
3018,-80.0620079729999,40.587298721,15,0,82,02-100,POTTER PARK LAKE DAM,TRIBUTARY TO PINE CREEK,McCANDLESS TOWNSHIP,17,4493140,579350,15.9,8.8000002,EMSWORTH,EARTH,RECREATION,16,150,C-3,0.2,1.3,3,0.56,1
3019,-79.9322818159999,40.5786853230001,16,0,68,02-080,DETENTION BASIN,TRIB TO GOURDHEAD RUN,HAMPTON-GLADE JOINT VENTURE,17,4492330,590350,14.3,9.3000002,GLENSHAW,EARTH,STORMWATER DETENTION,28,120,C-2,112,0,7,0,1
3020,-79.980058417,40.5775751630001,17,0,67,02-078,WILDWOOD GOLF CLUB POND NO 2,TRIB PINE CRK,WILDWOOD GOLF CLUB,17,4492160,586320,14.1,2.6500001,GLENSHAW,EARTH,RECREATION/IRRIGATION,28,120,C-2,0.12,5,6,1,1
3021,-79.985338202,40.5742415490001,18,0,66,02-077,WILDWOOD GOLF CLUB POND NO.1,TRIB PINE CRK,WILDWOOD GOLF CLUB,17,4491780,585860,13.5,2,GLENSHAW,EARTH,RECREATION/IRRIGATION,24,120,C-3,0,5,6,1,1
3022,-80.046168215,40.5675760760001,19,0,70,02-082,WITTMER ROAD DET. DAM,WITTMER RUN,TOWN OF McCANDLESS,17,4490970,580730,12.3,10.9,EMSWORTH,EARTH,FLOOD CONTROL,25,180,C-2,0.25,0,14.4,0,1.7
3023,-80.015612064,40.567576537,20,0,63,02-074,LaROCHE COLLEGE DETENTION BASIN,TRIBUTARY LITTLE PINE CREEK,THE TOWNSHIP OF McCANDLESS,17,4491000,583300,12.2,15.15,EMSWORTH,EARTH,STORMWATER DETENTION,18,270,C-2,0.23999999,0,12,0,2
3024,-80.011446671,40.5672983540001,21,0,85,02-104,DETENTION BASIN,TRIB TO LITTLE PINE CREEK,TOWN OF MCCANDLESS,17,4490980,583770,12.2,15.75,EMSWORTH,EARTH,STORMWATER DETENTION,8,120,C-2,0.2,0,5,0,1.4
3025,-80.2081206829999,40.5484081110001,22,0,77,02-091,DASHFIELDS LOCK AND DAM,OHIO RIVER,U.S. ARMY COE,17,4488710,567030,8.8999996,6.1999998,AMBRIDGE,GRAVITY,NAVIGATION,39,1799,C-3,0,17000,17000,0,0
3026,-80.1647847469999,40.541743034,23,0,27,02-006,UPPER DAM,LONG RUN,SEWICKLEY WTR. WORKS,17,4488000,570710,7.5,11.9,AMBRIDGE,GRAVITY,,14,150,C-3,2.5999999,6,6,0,0
3027,-79.868665402,40.5472965060001,24,0,81,02-099,14-NORTH IMPOUNDMENT,UNNAMED TRIB. TO CAMPBELL RUN,CONSOLIDATION COAL COMPANY,17,4488890,595790,8.5,0.60000002,NEW KENSINGTON WEST,EARTH,WATER SUPPLY,42,200,B-2,0.14,17.5,25,1.4,1.6799999
3028,-79.794497908,40.548409715,25,0,53,02-063,CHESWICK EMERGENCY ASH POND,TRIBUTARY TOWNEY RUN,"DUQUESNE LIGHT COMPANY, WM. J. HELD P.E.",17,4489100,602060,8.75,11.15,NEW KENSINGTON WEST,EARTH,SEDIMENT BASIN,107,495,A-1,0.14,0,284,0,13
3029,-80.1681186879999,40.5400752630001,26,0,26,02-004,LOWER DAM,LONG RUN,SEWICKLEY WATER AUTHORITY,17,4487820,570430,7.1999998,11.3,AMBRIDGE,EARTH,WATER SUPPLY,19,0,C-3,0.02,10,15,3,3
3030,-79.889776593,40.5450757930001,27,0,37,02-032,CAMPBELLS POND,SQUAW RUN,G. KEITH TURNBULL,17,4488630,594000,7.3000002,15.1,GLENSHAW,EARTH,RECREATION,19,340,C-2,0.69999999,17,34,5,5.4000001
3031,-79.846722402,40.5442435100001,28,0,44,02-052,RUSSELTON SLURRY POND NO.3,TRIBUTARY LITTLE DEER CREEK,BCNR MINING CORPORATION,17,4488580,597650,18.200001,4.5,NEW KENSINGTON WEST,EARTH,SEDIMENT BASIN,153,860,A-3,0.15000001,24,290,26,0
3032,-79.846165856,40.5442430370001,29,0,45,02-053,HARMAR REFUSE BANK,TRIBUTARY GUYS RUN,"MINERAL TECHNOLOGY, INC.",17,4488600,597700,8,4,NEW KENSINGTON WEST,OTHER,TAILINGS,410,900,A-1,0.14,146,1578,15,42
3033,-79.814776888,40.538410556,30,0,73,02-087,ALLEGHENY RIVER LOCK AND DAM 3,ALLEGHENY RIVER,U.S. ARMY COE,17,4487970,600360,6.5999999,8.3000002,NEW KENSINGTON WEST,GRAVITY,NAVIGATION,36,2114,B-3,0,16800,16800,0,0
3034,-79.8461652409999,40.5361852190001,31,0,47,02-055,HARMAR STORAGE POND NO 4,TRIBUTARY GUYS RUN,MINERALS TECHNOLOGY INC,17,4487700,597700,6.5500002,4,NEW KENSINGTON WEST,EARTH,SLURRY IMPOUNDMENT,39,950,C-2,0.1,32.38,54.2,1.91,2.4000001
3035,-79.886441728,40.5284060750001,32,0,33,02-024,GLADE LAKE,GLADE RUN,FOX CHAPEL GOLF CLUB,17,4486780,594300,4.8499999,15.9,GLENSHAW,EARTH,,14,0,C-3,2,0,10,2,0
3036,-80.087840135,40.504798996,33,0,61,02-072,EMSWORTH LOCK AND DAM,OHIO RIVER,TOWNSHIP OF POTTER,17,4483960,577280,0.89999998,5.0999999,EMSWORTH,GRAVITY,HYDROELECTRIC,25,1928,C-3,0,42700,42700,0,3070
3037,-80.190343462,40.5009098,34,0,62,02-073,MONTOUR HEIGHTS COUNTRY CLUB DAM,TRIBUTARY MEEKS RUN,MONTOUR HEIGHTS COUNTRY CLUB,17,4483460,568600,0.1,8.3000002,AMBRIDGE,EARTH,RECREATION/IRRIGATION,54,203,B-2,0.039999999,28,34,1,2
3038,-80.2122861669999,40.4981314560001,35,0,49,02-059,GREATER PITTSBURGH AIRPORT DAM,TRIBUTARY MCCLARONS RUN CREEK,ALLEGHENY CO. DEPT OF AVIATION,17,4483120,566730,22.450001,5.1999998,OAKDALE,,,13,145,C-3,0.30000001,0,1,0,0
3039,-80.244788066,40.4811874480001,36,0,54,02-064,ALLEGHENY DEPT OF AVIATION,TRIBUTARY MONTOUR RUN,ALLEGHENY COUNTY DEPARTMENT OF AVIATION,17,4481220,564000,19.200001,0.69999999,OAKDALE,EARTH,STORMWATER DETENTION,39.5,360,C-2,2.7,80,374.5,12,17.799999
3040,-79.9147776089999,40.4867439940001,37,0,72,02-086,ALLEGHENY RIVER LOCK AND DAM 2,ALLEGHENY RIVER,U.S. ARMY COE,17,4482130,591960,20.4,11.5,PITTSBURGH EAST,GRAVITY,NAVIGATION,58,1473,B-3,0,14500,14500,0,0
3041,-80.315064451,40.45452199,38,0,59,02-070,BALD KNOB,TRIBUTARY POTATO GARDEN RUN,ALOE COAL COMPANY,17,4478210,558060,14.48,8.3199997,CLINTON,EARTH,SEDIMENT BASIN,65,900,B-2,0.25999999,31,625,4,24
3042,-80.127002211,40.456744444,39,0,79,02-093,LAKE STEUBEN DAM,MOON RUN,WILLIS L. PETRIE,17,4478590,574000,14.8,17.049999,OAKDALE,EARTH,RECREATION,14,150,C-2,0.30000001,8,20,2,4.4000001
3043,-80.22144888,40.4461841670001,40,0,43,02-049,WALDENWOODS,TRIB MONTOUR RUN,"JOHN N. HALL, PARTNER",17,4477350,566000,12.95,3.95,OAKDALE,EARTH,STORMWATER DETENTION,22,140,C-2,0.40000001,0,6,0,0
3044,-79.714767265,40.45563307,41,0,71,02-083,JOHNSTON POND,TRIBUTARY ABERS CREEK,MR. RAY P. JOHNSTON,17,4478900,608950,13.7,4.6300001,MURRYSVILLE,EARTH,RECREATION,25,0,C-1,0.18000001,0,8,0,0
3045,-79.7769938,40.4317449320001,42,0,65,02-076,BELMONT RIDGE,TRIBUTARY TO TURTLE CREEK,BELMONT EQUITIES INC,17,4476180,603720,10.3,13.55,BRADDOCK,EARTH,STORMWATER DETENTION,16,160,C-3,0.30000001,0,6,0,1
3046,-79.7439348789999,40.421740427,43,0,48,02-057,CARING 1 DAM,TRIBUTARY TURTTLE CREEK,"CARING 1, A LIMITED PARTNERSHI",17,4475120,606550,8.5,0.85000002,MURRYSVILLE,,,14,90,C-3,0.2,0,2,0,0
3047,-79.858103835,40.391742547,44,0,75,02-089,MONONGAHELA RIVER LOCK AND DAM 2,MONONGAHELA RIVER,U.S. ARMY COE,17,4471640,596900,3.0999999,2.0999999,BRADDOCK,GRAVITY,NAVIGATION,33,960,B-3,0,13700,13700,0,0
3048,-79.898104912,40.265077315,45,0,76,02-090,MONONGAHELA RIVER LOCK AND DAM 3,MONONGAHELA RIVER,U.S. ARMY COE,17,4457540,593680,2.5999999,14,GLASSPORT,GRAVITY,NAVIGATION,16,832,B-3,0,16300,16300,0,0
3049,-79.8214422629999,40.2650752440001,46,0,36,02-029,BUTLER'S LAKE,TRIBUTARY TO BOYDS HOLLOW RUN,BUTLERS GOLF COURSE,17,4457630,600200,2.45,7.6500001,MCKEESPORT,EARTH,RECREATION/IRRIGATION,30,435,C-1,0.30000001,94,100,9,10
